d_t1,theta_t1,d_t2,theta_t2,d_t3,theta_t3,d_t4,theta_t4,d_t5,theta_t5,d_t6,theta_t6,d_t7,theta_t7,d_t8,theta_t8,d_t9,theta_t9,d_t10,theta_t10,d_t11,theta_t11,d_t12,theta_t12,d_t13,theta_t13,v_rel
2.774561307666493,0.932751963575546,2.774561307666493,0.932751963575546,2.774561307666493,0.932751963575546,2.866176144273065,0.930651612576806,2.767805320104724,0.9430917836011145,2.7449535660917848,0.9613716056127053,2.6931825225929247,0.9748331083078735,2.0433987006945094,1.7347381984073516,2.322189389347904,1.7997319099400813,2.6429418533142197,1.8652393770281999,3.00408634030382,1.9512347082343626,3.324364704721789,2.0118012697359595,3.7131677689002935,2.0927216591767377,1.7128999999999999
2.7784845653701233,0.9381790636108183,2.7784845653701233,0.9381790636108183,2.7784845653701233,0.9381790636108183,2.859898047133852,0.930847799668463,2.748092767720917,0.9423826173243128,2.6621177735028945,0.9834605009448135,2.6840381107577427,0.9774720411837428,2.080748062596718,1.7415152069401558,2.408223017081268,1.812360865231774,2.7351548731287596,1.8872978890249965,2.9849060420723443,1.9700045564715676,3.3721437365569114,2.0236086723702273,3.7553674294268493,2.106279140388492,1.6660000000000001
2.768797345419127,0.9429055173397316,2.768797345419127,0.9429055173397316,2.768797345419127,0.9429055173397316,2.8437020325624833,0.9284908428494797,2.744625316869316,0.9482978071158754,2.6916838595942125,0.9837210800139472,2.6664806655965108,0.9758351611450461,2.065369647302873,1.7461416657314184,2.4664793147318296,1.8212914836112628,2.7725369699969726,1.9078881745324001,3.074637578642398,1.9791729552228043,3.4233416247871,2.0319095836944103,3.815254268066546,2.123447234286035,0.9051
2.8257798923483053,0.9357036152880324,2.8257798923483053,0.9357036152880324,2.8257798923483053,0.9357036152880324,2.8244400312274287,0.9271465159591172,2.736470251985211,0.9513284889111706,2.7122729600834794,0.9856262582111885,2.0482892862093465,1.4198544315052437,2.0843905056394765,1.753494811852793,2.522704598243719,1.8337351151611754,2.8829063009400775,1.9234406725349722,3.1570880269640904,1.986348087030302,3.509813995071532,2.0569223697555232,3.8786799004300394,2.135550133761606,1.3458999999999999
2.852690535266661,0.9332475286562032,2.852690535266661,0.9332475286562032,2.852690535266661,0.9332475286562032,2.7924386349569073,0.9365130981010127,2.750767936413395,0.9597427611141495,2.7212542788207075,0.9849034677627949,1.982164304491429,1.6340522331918705,2.1511080400574962,1.760296498110059,2.509484397241792,1.8441642010096782,2.9384818682442124,1.9296506410763614,3.216102066166433,2.001412476072432,3.567567273367109,2.0585771805625708,3.9744632971006277,2.1494129747730293,1.2425000000000002
2.7882173301233193,0.9208824745060495,2.7882173301233193,0.9208824745060495,2.8582095794395466,0.9298842542711738,2.7776552575868747,0.9397448887105729,2.7510759949517967,0.961994061162231,2.701250986117357,0.9782862892478297,1.9897427371396526,1.7117836187570095,2.204917798921313,1.7846296395400933,2.5597548085705393,1.860891081149027,3.0007214015966244,1.940293395281856,3.262766018273456,2.0031741338537876,3.6555337695061745,2.07677356478499,4.0312053011475335,2.160346948672893,1.5496
2.774561307666493,0.932751963575546,2.774561307666493,0.932751963575546,2.866176144273065,0.930651612576806,2.767805320104724,0.9430917836011145,2.7449535660917848,0.9613716056127053,2.6931825225929247,0.9748331083078735,2.0433987006945094,1.7347381984073516,2.322189389347904,1.7997319099400813,2.6429418533142197,1.8652393770281999,3.00408634030382,1.9512347082343626,3.324364704721789,2.0118012697359595,3.7131677689002935,2.0927216591767377,4.097093546649868,2.16766700686134,1.8429000000000002
2.7784845653701233,0.9381790636108183,2.7784845653701233,0.9381790636108183,2.859898047133852,0.930847799668463,2.748092767720917,0.9423826173243128,2.6621177735028945,0.9834605009448135,2.6840381107577427,0.9774720411837428,2.080748062596718,1.7415152069401558,2.408223017081268,1.812360865231774,2.7351548731287596,1.8872978890249965,2.9849060420723443,1.9700045564715676,3.3721437365569114,2.0236086723702273,3.7553674294268493,2.106279140388492,4.160640322113892,2.1788050617338657,1.8744999999999998
2.768797345419127,0.9429055173397316,2.768797345419127,0.9429055173397316,2.8437020325624833,0.9284908428494797,2.744625316869316,0.9482978071158754,2.6916838595942125,0.9837210800139472,2.6664806655965108,0.9758351611450461,2.065369647302873,1.7461416657314184,2.4664793147318296,1.8212914836112628,2.7725369699969726,1.9078881745324001,3.074637578642398,1.9791729552228043,3.4233416247871,2.0319095836944103,3.815254268066546,2.123447234286035,4.237575714957788,2.1905410532671885,2.1912000000000003
2.8257798923483053,0.9357036152880324,2.8257798923483053,0.9357036152880324,2.8244400312274287,0.9271465159591172,2.736470251985211,0.9513284889111706,2.7122729600834794,0.9856262582111885,2.0482892862093465,1.4198544315052437,2.0843905056394765,1.753494811852793,2.522704598243719,1.8337351151611754,2.8829063009400775,1.9234406725349722,3.1570880269640904,1.986348087030302,3.509813995071532,2.0569223697555232,3.8786799004300394,2.135550133761606,4.308710600632165,2.1995175340360684,2.0744000000000002
